"glytoucan_ac","glycan_type","glycan_type_source","glycan_type_source_id","glycan_subtype","glycan_subtype_source","glycan_subtype_source_id"
"G23980PE","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G23980PE","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G79340ZK","N-linked","GlycoMotif","GGM.001024","Bisected","Subsumption","G10733HY"
"G79340ZK","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G79340ZK","N-linked","GlycoMotif","GGM.001024","Complex","Subsumption","G10733HY"
"G56344DH","Glycosphingolipid","Subsumption","G22689CV","Neo-lacto series","Subsumption","G30816RB"
"G56344DH","Glycosphingolipid","Subsumption","G22689CV","Lacto series","Subsumption","G22689CV"
"G73296CE","O-linked","Subsumption","G39162CC","Core 2","Subsumption","G39162CC"
"G15173TI","O-linked","GlycoMotif","GGM.001005","Core 1","GlycoMotif","GGM.001005"
"G97268YK","N-linked","Subsumption","G11160HY","Core-fucosylated","Subsumption","G11160HY"
"G97268YK","N-linked","Subsumption","G11160HY","Complex","Subsumption","G11160HY"
"G26169VM","Glycosphingolipid","Subsumption","G01753HF","Gala series","Subsumption","G01753HF"
"G62606MC","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G27091KK","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G99658OL","N-linked","GlycoMotif","GGM.001022","Truncated","GlycoMotif","GGM.001022"
"G91907VS","N-linked","Subsumption","G29717FW","Bisected","Subsumption","G29717FW"
"G91907VS","N-linked","Subsumption","G29717FW","Core-fucosylated","Subsumption","G11509RN"
"G91907VS","N-linked","Subsumption","G29717FW","Complex","Subsumption","G08673AT"
"G91907VS","N-linked","Subsumption","G29717FW","Hybrid","Subsumption","G29717FW"
"G59937NB","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G90445GN","N-linked","Subsumption","G35407XS","Core-fucosylated","Subsumption","G35407XS"
"G90445GN","N-linked","Subsumption","G35407XS","Complex","Subsumption","G35407XS"
"G14439NS","N-linked","GlycoMotif","GGM.001002","High mannose","GlycoMotif","GGM.001002"
"G14296RM","O-linked","GlycoMotif","GGM.001005","Core 1","GlycoMotif","GGM.001005"
"G06928XT","N-linked","GlycoMotif","GGM.001003","Hybrid","GlycoMotif","GGM.001003"
"G85095TB","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G85095TB","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G29803MG","N-linked","GlycoMotif","GGM.001001","","",""
"G55144QZ","O-linked","GlycoMotif","GGM.001011","Core 4","GlycoMotif","GGM.001011"
"G35553IK","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G35553IK","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G91257NC","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G80415EJ","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G80415EJ","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G45827ZM","O-linked","GlycoMotif","GGM.001005","Core 1","GlycoMotif","GGM.001005"
"G82119TF","N-linked","Subsumption","G17996KS","Bisected","Subsumption","G17996KS"
"G82119TF","N-linked","Subsumption","G17996KS","Core-fucosylated","Subsumption","G04109RU"
"G82119TF","N-linked","Subsumption","G17996KS","Hybrid","Subsumption","G02081QK"
"G82119TF","Glycosphingolipid","Subsumption","G16473NN","Neo-lacto series","Subsumption","G00851XQ"
"G82119TF","Glycosphingolipid","Subsumption","G16473NN","Lacto series","Subsumption","G16473NN"
"G35283JZ","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G55497KX","N-linked","GlycoMotif","GGM.001002","High mannose","GlycoMotif","GGM.001002"
"G08290VR","N-linked","Subsumption","G14047MI","Bisected","Subsumption","G14047MI"
"G08290VR","N-linked","Subsumption","G14047MI","Core-fucosylated","Subsumption","G01680CB"
"G08290VR","N-linked","Subsumption","G14047MI","Complex","Subsumption","G01680CB"
"G08290VR","O-linked","Subsumption","G05278GV","Core 2","Subsumption","G05278GV"
"G02244ID","O-linked","GlycoMotif","GGM.001009","Core 3","GlycoMotif","GGM.001009"
"G69492OP","N-linked","Subsumption","G11911IN","","",""
